,gmap_id,Nombre,Estado,Promedio,Valoraciones,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Takeout,Delivery,Asientos Discapacitados,Estacionamiento Discapacitados,Almuerzo,Cena,Comer Solo,Grupos,Turistas,Debito,NFC,Credito,Servicio Rapido
10,0x864e774613a3da6f:0xd1ccd6db4b7a795c,Asiannights Lao-Thai Cuisine & Bar,Texas,4.8,40.0,17.0,15.0,159.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
36,0x8644b5d17ff3e80f:0x3b9a9bf421d16609,Hawai’i Nei Cafè,Texas,4.8,88.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
54,0x864c1865ad197695:0x36153f7e83229a23,Asian Delights Cafe,Texas,4.6,28.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,0x865c871180a3bcef:0x624e0c120c2563c9,Marios Pizza and Wine Bar,Texas,4.7,49.0,86.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
68,0x865c43ef02b0bf65:0x12c21bbebc3e8e99,Ain't Cha Mama's,Texas,4.3,14.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
73,0x8640c30a3c876483:0xb8557b26ecdd5397,Hunan Garden,Texas,3.7,173.0,65.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
85,0x865cf5f69fc7a383:0xf32b12210b6db0cd,Bud's Southern Rotisserie,Texas,4.0,58.0,4.0,65.0,34.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,0x8640c02877cf6481:0x83269c04e911cea,Sleepy's Po-Boys,Texas,4.3,977.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
118,0x8644b5abd21a3299:0xc1efc6c757362e3b,DFG Noodles,Texas,4.3,48.0,159.0,34.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0x865b29243e0a3981:0x1ac8d1410a300d89,Lali Son Fast Food,Texas,4.8,118.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
